29 Jul 2021 - 04:51:49.654 [main] INFO  B.e.gradeBook.EGradeBookApplication - Starting EGradeBookApplication using Java 15.0.2 on DESKTOP-GAE95KF with PID 2288 (C:\Users\admin\Desktop\BRAINS2021\Spring\EGradeBook\target\classes started by admin in C:\Users\admin\Desktop\BRAINS2021\Spring\EGradeBook)
29 Jul 2021 - 04:56:23.988 [RMI TCP Connection(8)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
29 Jul 2021 - 04:56:23.990 [RMI TCP Connection(8)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
29 Jul 2021 - 04:56:23.999 [RMI TCP Connection(8)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
29 Jul 2021 - 04:56:30.539 [main] INFO  B.e.gradeBook.EGradeBookApplication - Starting EGradeBookApplication using Java 15.0.2 on DESKTOP-GAE95KF with PID 15868 (C:\Users\admin\Desktop\BRAINS2021\Spring\EGradeBook\target\classes started by admin in C:\Users\admin\Desktop\BRAINS2021\Spring\EGradeBook)
29 Jul 2021 - 04:56:30.541 [main] INFO  B.e.gradeBook.EGradeBookApplication - No active profile set, falling back to default profiles: default
29 Jul 2021 - 04:56:31.139 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
29 Jul 2021 - 04:56:31.223 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 73 ms. Found 11 JPA repository interfaces.
29 Jul 2021 - 04:56:31.474 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@661d88a' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
29 Jul 2021 - 04:56:31.478 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
29 Jul 2021 - 04:56:31.657 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
29 Jul 2021 - 04:56:31.665 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
29 Jul 2021 - 04:56:31.665 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
29 Jul 2021 - 04:56:31.756 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
29 Jul 2021 - 04:56:31.756 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1179 ms
29 Jul 2021 - 04:56:32.119 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
29 Jul 2021 - 04:56:32.397 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
29 Jul 2021 - 04:56:33.269 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
29 Jul 2021 - 04:56:33.302 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
29 Jul 2021 - 04:56:33.880 [main] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: dc7193c2-7395-476a-866d-b5efb204d065

29 Jul 2021 - 04:56:33.947 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@8bb5c2a, org.springframework.security.web.context.SecurityContextPersistenceFilter@30a79476, org.springframework.security.web.header.HeaderWriterFilter@1a1c308b, org.springframework.security.web.authentication.logout.LogoutFilter@1188e08b, Brains2021.electronic.gradeBook.config.JWTAuthorizationFilter@6a9d572, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@37f0fb02, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@69ee0861, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@a5df98c, org.springframework.security.web.session.SessionManagementFilter@7b9f7087, org.springframework.security.web.access.ExceptionTranslationFilter@1f2d0ca2, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7916568d]
29 Jul 2021 - 04:56:34.266 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
29 Jul 2021 - 04:56:34.274 [main] INFO  B.e.gradeBook.EGradeBookApplication - Started EGradeBookApplication in 4.077 seconds (JVM running for 4.791)
29 Jul 2021 - 04:56:35.932 [http-nio-8090-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
29 Jul 2021 - 04:56:36.039 [http-nio-8090-exec-2] INFO  B.e.g.controllers.SubjectController - **GET ALL SUBJECTS** Access to the endpoint successful.
29 Jul 2021 - 04:56:36.040 [http-nio-8090-exec-2] INFO  B.e.g.controllers.SubjectController - **GET ALL SUBJECTS** Attempt to find subjects in database.
29 Jul 2021 - 04:56:36.089 [http-nio-8090-exec-2] INFO  B.e.g.controllers.SubjectController - **GET ALL ASSIGNMENTS** Attempt successful, list retrieved. Exiting controller
29 Jul 2021 - 05:32:20.125 [RMI TCP Connection(40)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
29 Jul 2021 - 05:32:20.149 [RMI TCP Connection(40)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
29 Jul 2021 - 05:32:20.151 [RMI TCP Connection(40)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
29 Jul 2021 - 05:32:20.154 [RMI TCP Connection(40)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
29 Jul 2021 - 05:32:32.273 [main] INFO  B.e.gradeBook.EGradeBookApplication - Starting EGradeBookApplication using Java 15.0.2 on DESKTOP-GAE95KF with PID 13096 (C:\Users\admin\Desktop\BRAINS2021\Spring\EGradeBook\target\classes started by admin in C:\Users\admin\Desktop\BRAINS2021\Spring\EGradeBook)
29 Jul 2021 - 05:32:32.276 [main] INFO  B.e.gradeBook.EGradeBookApplication - No active profile set, falling back to default profiles: default
29 Jul 2021 - 05:32:32.850 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
29 Jul 2021 - 05:32:32.930 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 74 ms. Found 11 JPA repository interfaces.
29 Jul 2021 - 05:32:33.186 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@50f097b5' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
29 Jul 2021 - 05:32:33.190 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
29 Jul 2021 - 05:32:33.374 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
29 Jul 2021 - 05:32:33.383 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
29 Jul 2021 - 05:32:33.384 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
29 Jul 2021 - 05:32:33.512 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
29 Jul 2021 - 05:32:33.512 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1202 ms
29 Jul 2021 - 05:32:33.878 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
29 Jul 2021 - 05:32:34.165 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
29 Jul 2021 - 05:32:35.055 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
29 Jul 2021 - 05:32:35.088 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
29 Jul 2021 - 05:32:35.817 [main] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 2afaea0a-0732-42b3-b831-857a5d6ffa46

29 Jul 2021 - 05:32:35.886 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@55589ef5, org.springframework.security.web.context.SecurityContextPersistenceFilter@64dfa1a3, org.springframework.security.web.header.HeaderWriterFilter@207f7baa, org.springframework.security.web.authentication.logout.LogoutFilter@22b4ad0c, Brains2021.electronic.gradeBook.config.JWTAuthorizationFilter@23a9400c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7866ffa, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@213bd66a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@793248d, org.springframework.security.web.session.SessionManagementFilter@4138af7, org.springframework.security.web.access.ExceptionTranslationFilter@4687fee7, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1d77d9c6]
29 Jul 2021 - 05:32:36.199 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
29 Jul 2021 - 05:32:36.206 [main] INFO  B.e.gradeBook.EGradeBookApplication - Started EGradeBookApplication in 4.278 seconds (JVM running for 4.976)
29 Jul 2021 - 05:33:15.569 [http-nio-8090-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
29 Jul 2021 - 05:33:15.677 [http-nio-8090-exec-2] INFO  B.e.g.c.TeacherSubjectController - **GET ALL TEACHER-SUBJECT COMBINATIONS** Access to the endpoint successful.
29 Jul 2021 - 05:33:15.677 [http-nio-8090-exec-2] INFO  B.e.g.c.TeacherSubjectController - **GET ALL TEACHER-SUBJECT COMBINATIONS** Attempt to find teacher-subject combinations.
29 Jul 2021 - 05:33:15.743 [http-nio-8090-exec-2] INFO  B.e.g.c.TeacherSubjectController - **GET ALL TEACHER-SUBJECT COMBINATIONS** Attempt successful, teacher-subject combinations are present.
29 Jul 2021 - 05:33:15.743 [http-nio-8090-exec-2] INFO  B.e.g.c.TeacherSubjectController - **GET ALL TEACHER-SUBJECT COMBINATIONS** Attempt to invoke service to translate assignemnts to DTOSs.
29 Jul 2021 - 05:33:15.746 [http-nio-8090-exec-2] INFO  B.e.g.s.t.TeacherSubjectServiceImp - ##TEACHER - SUBJECT SERVICE## Service for translation to DTO.
29 Jul 2021 - 05:33:15.870 [http-nio-8090-exec-2] INFO  B.e.g.s.t.TeacherSubjectServiceImp - ##TEACHER - SUBJECT SERVICE## Translation done, returning to controller.
29 Jul 2021 - 05:33:15.870 [http-nio-8090-exec-2] INFO  B.e.g.c.TeacherSubjectController - **GET ALL TEACHER-SUBJECT COMBINATIONS** Attempt successful, list retrieved. Exiting controller
29 Jul 2021 - 05:34:34.683 [RMI TCP Connection(4)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
29 Jul 2021 - 05:34:34.710 [RMI TCP Connection(4)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
29 Jul 2021 - 05:34:34.711 [RMI TCP Connection(4)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
29 Jul 2021 - 05:34:34.716 [RMI TCP Connection(4)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
29 Jul 2021 - 05:35:07.087 [main] INFO  B.e.gradeBook.EGradeBookApplication - Starting EGradeBookApplication using Java 15.0.2 on DESKTOP-GAE95KF with PID 368 (C:\Users\admin\Desktop\BRAINS2021\Spring\EGradeBook\target\classes started by admin in C:\Users\admin\Desktop\BRAINS2021\Spring\EGradeBook)
29 Jul 2021 - 05:35:07.089 [main] INFO  B.e.gradeBook.EGradeBookApplication - No active profile set, falling back to default profiles: default
29 Jul 2021 - 05:35:07.661 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
29 Jul 2021 - 05:35:07.746 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 79 ms. Found 11 JPA repository interfaces.
29 Jul 2021 - 05:35:08.013 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@6b6b3572' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
29 Jul 2021 - 05:35:08.017 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
29 Jul 2021 - 05:35:08.194 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
29 Jul 2021 - 05:35:08.202 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
29 Jul 2021 - 05:35:08.203 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
29 Jul 2021 - 05:35:08.298 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
29 Jul 2021 - 05:35:08.299 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1176 ms
29 Jul 2021 - 05:35:08.652 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
29 Jul 2021 - 05:35:08.930 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
29 Jul 2021 - 05:35:09.790 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
29 Jul 2021 - 05:35:09.823 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
29 Jul 2021 - 05:35:10.414 [main] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 1d792f04-a4e9-4eca-a495-c22b356b1ef1

29 Jul 2021 - 05:35:10.482 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@538d2308, org.springframework.security.web.context.SecurityContextPersistenceFilter@25d87313, org.springframework.security.web.header.HeaderWriterFilter@5de6c7d7, org.springframework.security.web.authentication.logout.LogoutFilter@43778d6d, Brains2021.electronic.gradeBook.config.JWTAuthorizationFilter@3d0697da, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@73502d5e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5bbb0a25, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4b99f2ed, org.springframework.security.web.session.SessionManagementFilter@1f5a1ad4, org.springframework.security.web.access.ExceptionTranslationFilter@1067bc4c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@23a9400c]
29 Jul 2021 - 05:35:10.784 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
29 Jul 2021 - 05:35:10.791 [main] INFO  B.e.gradeBook.EGradeBookApplication - Started EGradeBookApplication in 4.015 seconds (JVM running for 4.625)
29 Jul 2021 - 05:35:19.250 [http-nio-8090-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
29 Jul 2021 - 05:35:19.365 [http-nio-8090-exec-2] INFO  B.e.g.c.TeacherSubjectController - **GET ALL TEACHER-SUBJECT COMBINATIONS** Access to the endpoint successful.
29 Jul 2021 - 05:35:19.366 [http-nio-8090-exec-2] INFO  B.e.g.c.TeacherSubjectController - **GET ALL TEACHER-SUBJECT COMBINATIONS** Attempt to find teacher-subject combinations.
29 Jul 2021 - 05:35:19.430 [http-nio-8090-exec-2] INFO  B.e.g.c.TeacherSubjectController - **GET ALL TEACHER-SUBJECT COMBINATIONS** Attempt successful, teacher-subject combinations are present.
29 Jul 2021 - 05:35:19.430 [http-nio-8090-exec-2] INFO  B.e.g.c.TeacherSubjectController - **GET ALL TEACHER-SUBJECT COMBINATIONS** Attempt to invoke service to translate assignemnts to DTOSs.
29 Jul 2021 - 05:35:19.434 [http-nio-8090-exec-2] INFO  B.e.g.s.t.TeacherSubjectServiceImp - ##TEACHER - SUBJECT SERVICE## Service for translation to DTO.
29 Jul 2021 - 05:35:19.555 [http-nio-8090-exec-2] INFO  B.e.g.s.t.TeacherSubjectServiceImp - ##TEACHER - SUBJECT SERVICE## Translation done, returning to controller.
29 Jul 2021 - 05:35:19.555 [http-nio-8090-exec-2] INFO  B.e.g.c.TeacherSubjectController - **GET ALL TEACHER-SUBJECT COMBINATIONS** Attempt successful, list retrieved. Exiting controller
29 Jul 2021 - 05:42:24.633 [RMI TCP Connection(11)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
29 Jul 2021 - 05:42:24.657 [RMI TCP Connection(11)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
29 Jul 2021 - 05:42:24.659 [RMI TCP Connection(11)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
29 Jul 2021 - 05:42:24.663 [RMI TCP Connection(11)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
29 Jul 2021 - 05:42:29.212 [main] INFO  B.e.gradeBook.EGradeBookApplication - Starting EGradeBookApplication using Java 15.0.2 on DESKTOP-GAE95KF with PID 4680 (C:\Users\admin\Desktop\BRAINS2021\Spring\EGradeBook\target\classes started by admin in C:\Users\admin\Desktop\BRAINS2021\Spring\EGradeBook)
29 Jul 2021 - 05:42:29.214 [main] INFO  B.e.gradeBook.EGradeBookApplication - No active profile set, falling back to default profiles: default
29 Jul 2021 - 05:42:29.802 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
29 Jul 2021 - 05:42:29.888 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 79 ms. Found 11 JPA repository interfaces.
29 Jul 2021 - 05:42:30.143 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@69d45cca' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
29 Jul 2021 - 05:42:30.148 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
29 Jul 2021 - 05:42:30.322 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
29 Jul 2021 - 05:42:30.329 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
29 Jul 2021 - 05:42:30.330 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
29 Jul 2021 - 05:42:30.436 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
29 Jul 2021 - 05:42:30.436 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1189 ms
